id,cost,status
142,9047813,0
143,21211870,0
144,23213664,0
145,33435516,0
146,39982140,0
147,42778284,0
148,15695067,0
149,11514351,0
150,12216935,0
151,12216935,0
152,11795680,0
153,9440649,0
154,0,0
155,2000000,0
156,2000000,0
157,2000000,0
158,2000000,0
159,2000000,0
160,2000000,0
161,2000000,0
162,2000000,0
163,2000000,0
164,2000000,0
165,2000000,0
166,2000000,0
167,2000000,0
168,2000000,0
169,2000000,0
170,2000000,0
171,2000000,0
172,2000000,0
173,2000000,0
174,14372667,0
175,16421396,0
176,16421396,0
177,16421396,0
178,2000000,0
179,2000000,0
180,2000000,0
181,2000000,0
182,9047813,0
183,23213664,0
184,33435516,0
185,39982140,0
186,42778284,0
187,42778284,0
188,11514351,0
189,11514351,0
190,12216935,0
191,11795680,0
192,9440649,0
193,0,0
194,2000000,0
195,2000000,0
196,2000000,0
197,2000000,0
198,2000000,0
199,2000000,0
200,2000000,0
201,2000000,0
202,2000000,0
203,2000000,0
204,2000000,0
205,2000000,0
206,2000000,0
207,2000000,0
208,2000000,0
209,2000000,0
210,2000000,0
211,2000000,0
212,2000000,0
213,2000000,0
214,14372667,0
215,16421396,0
216,16421396,0
217,16421396,0
218,2000000,0
219,2000000,0
220,2000000,0
221,9047813,0
222,23213664,0
223,23213664,0
224,33435516,0
225,40275008,0
226,42778284,0
227,15695067,0
228,11514351,0
229,12216935,0
230,12216935,0
231,11795680,0
232,9440649,0
233,0,0
234,2000000,0
235,2000000,0
236,2000000,0
237,2000000,0
238,2000000,0
239,2000000,0
240,2000000,0
241,2000000,0
242,2000000,0
243,2000000,0
244,2000000,0
245,2000000,0
246,2000000,0
247,2000000,0
248,2000000,0
249,2000000,0
250,2000000,0
251,2000000,0
252,2000000,0
253,14529281,0
254,14529281,0
255,14372667,0
256,16421396,0
257,2000000,0
258,2000000,0
259,2000000,0
260,14907862,0
261,34284944,0
262,36874504,0
263,39739672,0
264,45378552,0
265,40275008,0
266,40275008,0
267,11514351,0
268,12216935,0
269,12216935,0
270,11795680,0
271,0,0
272,2000000,0
273,2000000,0
274,2000000,0
275,2000000,0
276,2000000,0
277,2000000,0
278,2000000,0
279,2000000,0
280,2000000,0
281,2000000,0
282,2000000,0
283,2000000,0
284,2000000,0
285,2000000,0
286,2000000,0
287,2000000,0
288,2000000,0
289,2000000,0
290,2000000,0
291,2000000,0
292,14529281,0
293,14372667,0
294,16421396,0
295,16421396,0
296,2000000,0
297,2000000,0
298,14907862,0
299,34284944,0
300,36874504,0
301,36874504,0
302,39739672,0
303,45378552,0
304,40275008,0
305,11208673,0
306,11514351,0
307,12216935,0
308,12216935,0
309,0,0
310,0,0
311,2000000,0
312,2000000,0
313,2000000,0
314,2000000,0
315,2000000,0
316,2000000,0
317,2000000,0
318,2000000,0
319,2000000,0
320,2000000,0
321,2000000,0
322,2000000,0
323,2000000,0
324,2000000,0
325,2000000,0
326,2000000,0
