id1	id2	boundary
185	224	1241
185	225	1241
185	264	1241
186	225	1241
186	226	1241
186	265	1241
187	226	1241
187	227	1241
187	266	1241
188	227	1241
188	228	1241
188	267	1241
189	228	1241
189	229	1241
189	268	1241
190	229	1241
190	230	1241
190	269	1241
191	230	1241
191	231	1241
191	270	1241
192	192	1241
192	231	1241
192	232	1241
193	193	1241
193	232	1241
193	233	1241
193	271	1241
194	194	1241
194	234	1241
194	272	1241
195	234	1241
195	235	1241
195	273	1241
196	235	1241
196	236	1241
196	274	1241
197	236	1241
197	237	1241
197	275	1241
198	237	1241
198	238	1241
198	276	1241
199	238	1241
199	239	1241
199	277	1241
200	239	1241
200	240	1241
200	278	1241
201	240	1241
201	241	1241
201	279	1241
202	241	1241
202	242	1241
202	280	1241
203	242	1241
203	243	1241
203	281	1241
204	243	1241
204	244	1241
204	282	1241
205	244	1241
205	245	1241
205	283	1241
206	245	1241
206	246	1241
206	284	1241
207	246	1241
207	247	1241
207	285	1241
208	247	1241
208	248	1241
208	286	1241
209	248	1241
209	249	1241
209	287	1241
210	249	1241
210	250	1241
210	288	1241
211	250	1241
211	251	1241
211	289	1241
212	251	1241
212	252	1241
212	290	1241
213	252	1241
213	253	1241
213	291	1241
214	253	1241
214	254	1241
214	292	1241
215	254	1241
215	255	1241
215	293	1241
216	255	1241
216	256	1241
216	294	1241
217	256	1241
217	257	1241
217	295	1241
218	257	1241
218	258	1241
218	296	1241
219	258	1241
219	259	1241
219	297	1241
220	259	1241
220	260	1241
220	298	1241
221	260	1241
221	261	1241
221	299	1241
222	261	1241
222	262	1241
222	300	1241
223	262	1241
223	263	1241
223	301	1241
224	263	1241
224	264	1241
224	302	1241
225	264	1241
225	265	1241
225	303	1241
226	265	1241
226	266	1241
226	304	1241
227	266	1241
227	267	1241
227	305	1241
228	267	1241
228	268	1241
228	306	1241
229	268	1241
229	269	1241
229	307	1241
230	269	1241
230	270	1241
230	308	1241
231	231	1241
231	270	1241
231	309	1241
232	232	1241
232	271	1241
233	233	1241
233	271	1241
233	310	1241
234	272	1241
234	273	1241
234	311	1241
235	273	1241
235	274	1241
235	312	1241
236	274	1241
