"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
11,15443712835.511414,14064669753.000000,3891,11213676.000000,45611714.000000,7939918.000000,11213676.000000,26458120.000000,0.174076,1266906322.511414,1238050000.000000,11,0.540437
12,15722546309.700085,14400233832.000000,3883,11561156.000000,45611714.000000,7751286.000000,11561156.000000,26299272.000000,0.169941,1206700917.700085,1214317000.000000,12,0.579083
13,15660615820.358986,14388512694.000000,3889,11428369.000000,45611714.000000,7843120.000000,11428369.000000,26340225.000000,0.171954,1157819436.358986,1179792000.000000,11,0.566740
14,15778861092.426971,14464675648.000000,3904,11367560.000000,45611714.000000,7916339.000000,11367560.000000,26327815.000000,0.173559,1200509844.426972,1197610000.000000,11,0.565948
15,15967873205.768929,14643378742.000000,3872,11511516.000000,45611714.000000,7748804.000000,11511516.000000,26351394.000000,0.169886,1209379303.768929,1219684000.000000,9,0.569748
16,15690568818.673407,14363242754.000000,3904,11429610.000000,45611714.000000,7884073.000000,11429610.000000,26298031.000000,0.172852,1213029964.673406,1182644000.000000,9,0.581299
17,15731722983.495968,14390033308.000000,3890,11442020.000000,45611714.000000,7836915.000000,11442020.000000,26332779.000000,0.171818,1227269475.495969,1226068000.000000,10,0.550586
18,15871234951.774172,14493689204.000000,3876,11691461.000000,45611714.000000,7660693.000000,11691461.000000,26259560.000000,0.167955,1260631137.774171,1231239000.000000,10,0.554937
19,15771499059.757805,14541959831.000000,3906,11638098.000000,45611714.000000,7788516.000000,11638098.000000,26185100.000000,0.170757,1113158248.757804,1152314000.000000,11,0.554340
20,15734981121.167175,14330793268.000000,3862,11453189.000000,45611714.000000,7738876.000000,11453189.000000,26419649.000000,0.169669,1289655963.167176,1257126000.000000,11,0.579301
21,15756028794.419533,14423985891.000000,3893,11618242.000000,45611714.000000,7774865.000000,11618242.000000,26218607.000000,0.170458,1215860483.419534,1185385000.000000,11,0.576855
22,15836613709.723194,14553781088.000000,3882,11618242.000000,45611714.000000,7732671.000000,11618242.000000,26260801.000000,0.169533,1166650201.723195,1175086000.000000,11,0.570277
23,15850621071.075813,14522130711.000000,3888,11584735.000000,45611714.000000,7759973.000000,11584735.000000,26267006.000000,0.170131,1212643010.075812,1216545000.000000,11,0.573767
24,15792727637.847488,14434533954.000000,3887,11499106.000000,45611714.000000,7799685.000000,11499106.000000,26312923.000000,0.171002,1243202623.847489,1210827000.000000,10,0.562469
25,15800855960.272493,14452934513.000000,3871,11455671.000000,45611714.000000,7768660.000000,11455671.000000,26387383.000000,0.170322,1233364737.272494,1222063000.000000,9,0.572653
26,15688708509.788223,14401084849.000000,3888,11548746.000000,45611714.000000,7782311.000000,11548746.000000,26280657.000000,0.170621,1172136200.788223,1186061000.000000,10,0.555477
27,15683360589.498428,14299031363.000000,3884,11479250.000000,45611714.000000,7793480.000000,11479250.000000,26338984.000000,0.170866,1269536726.498428,1239478000.000000,10,0.565937
28,15670791942.314333,14406399947.000000,3877,11382452.000000,45611714.000000,7836915.000000,11382452.000000,26392347.000000,0.171818,1150567475.314332,1187441000.000000,10,0.563629
